Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Rondae Hollis-Jefferson,TOR,"SF,PF ",825,437,148,48,71,0.47,0.76,12,78,1759,107
Willie Cauley-Stein,GSW,"PF,C ",819,503,166,61,73,0.55,0.59,1,76,2042,90
Kentavious Caldwell-Pope,LAL,"SG,SF",817,236,114,15,72,0.42,0.85,124,72,2124,64
Luke Kennard,DET,"SG,SF",817,250,164,17,47,0.45,0.82,129,75,1841,88
Draymond Green,GSW,"PF,C",817,602,580,97,113,0.44,0.73,81,76,2554,225
Mitchell Robinson,NYK,C,815,671,59,220,78,0.68,0.62,0,78,2019,57
Ish Smith,WAS,PG,812,228,344,17,54,0.46,0.72,54,79,1639,92
Wesley Matthews,MIL,"SG,SF",806,170,141,14,57,0.43,0.82,112,73,1773,77
Mario Hezonja,POR,"SG,SF",799,348,131,16,83,0.43,0.8,83,75,1841,112
DeMarre Carroll,SAS,"SF,PF",799,388,114,22,55,0.42,0.76,111,77,2020,78
DeAndre Jordan,BKN,C,798,936,139,78,38,0.66,0.62,0,78,2142,130
Thaddeus Young,CHI,"SF,PF",797,372,127,25,77,0.49,0.64,59,77,1937,96
Derrick Rose,DET,"PG,SG",778,141,203,10,38,0.45,0.86,68,62,1345,87
Jonathan Isaac,ORL,"SF,PF",775,424,90,107,88,0.43,0.81,89,74,1929,100
Bryn Forbes,SAS,"PG,SG",775,186,133,0,29,0.45,0.83,137,78,1872,60
Klay Thompson,GSW,"SG,SF ",769,135,85,19,32,0.46,0.86,121,38,1301,56
Elfrid Payton,NYK,PG,766,297,416,27,71,0.46,0.7,51,76,1941,161
OG Anunoby,TOR,"SF,PF",761,302,79,29,79,0.46,0.64,106,77,1940,81
